Total score =,55283.25
1,15698,15699,15578,15621
2,10042,10257,15788,14772
3,15780,15716,13960,10532
4,14356,15328,15512
5,15780,10016,14861,15198
6,15780,15122,15454,10482
7,15780,14043,15015,15016
8,15780,15755,15159,15563
9,15780,15729,10480,12051
10,15780,13107,15578,13344
11,15780,14043,10202,14603
12,15780,14385,15280,15578
13,15713,10161,15529,15511
14,15780,13960,15757,15512
15,15780,15214,10396,12301
16,15780,15698,15040,15192
17,15780,12642,14576,15753
18,15780,14203,15122,15197
19,15780,14043,14021,10482
20,15780,15214,15190,12495
21,15331,10531,10589,15128
22,15780,15534,15621,15142
23,10195,15322,15564,15818
24,15780,15727,15322,10772
25,15780,13483,10290,15145
26,15780,13955,15748,15125
27,15710,15711,15215,15269
28,15780,14982,10533,13075
29,15780,15817,15563,15140
30,15699,15786,15454,15144
31,15780,14969,10195
32,15709,10202,14642
33,15780,10232,15268,15760
34,15780,14204,10686,14761
35,10194,10195,15534,10532
36,10016,13761,14718
37,15761,15762,14772,14793
38,10016,13197,13761,15418
39,10016,13087,13088,15190
40,10016,15136,15016,10690
41,14642,15608,15743,14454
42,15795,15708,14374,15096
43,10016,15699,15378,15152
44,15265,15269,14979,15813
45,10016,13761,15795,15512
46,15786,15608,15628,15771
47,10016,14861,15709,15096
48,10016,13761,15698,14806
49,10016,15608,15575,15427
50,15214,15152,15578,15796
51,13761,14520,15714,14373
52,14520,14861,15795,15807
53,10016,15793,15800,13299
54,10016,14520,15699,14376
55,15699,10232,15735,14376
56,10166,10167,10588,12909
57,10016,14520,15700,15096
58,10016,14449,14454,15771
59,15597,15016,15744,15759
60,12408,15812,14483,14482
61,12408,15738,15425,15512
62,10083,12359,14482,15100
63,10113,14432,14482,15776
64,12408,14036,15699,14385
65,12408,10167,13755,15813
66,12408,14373,14642,15551
67,12246,10166,10167,14677
68,10690,13996,15786,13340
69,14520,15136,15699,10289
70,12408,15759,14677,13345
71,14642,15551,14576,15621
72,14982,15789,15747,13755
73,12408,15776,13345,14893
74,12642
75,12408,14355,10288,14793
76,14373,15551,15190,15759
77,12408,15702,15807,14692
78,14520,14253,15808,10801
79,12408,15728,15729,15214
80,12408,15166,10289,15789
81,15727,14355,14274,12893
82,10104,14870,12524,14483
83,12408,15334,15702,14376
84,12408,12642,10232,13957
85,14520,15628,10288,15262
86,13977,10772,10312,10313
87,12408,15795,14081,10532
88,12360,15808
89,15729,15817,12051,15761
90,15136,14373,15629,14459
91,12408,13483,15564,15808
92,15229,14355,15597,14772
93,12408,13483,10532,14238
94,15632,10194,14483,10533
95,14940,10008,10533,10032
96,14373,15456,15425,15145
97,14969,15115,15144,15146
98,15706,10232,14992,10373
99,14253,15575,10585,10606
100,15382,15194,10531,15142
101,12408,14791,15511,15140
102,15511,15790,15579,15125
103,10194,10197,15742,15280
104,15298,14373,13957,15328
105,10160,15808,12021,13340
106,12828,14356,14432,14978
107,12408,15110,15127,15137
108,10042,14969,10103,15381
109,10158,10312,14482,15328
110,13957,15190,12909
111,12408,15191,15140
112,15706,10312,10313,14743
113,10288,10289,14483,15759
114,15600,14454,10606
115,12408,10232,15142
116,12408,14357,10194,14274
117,13774,14587,15456,15137
118,15418,14357,15142
119,14356,15563,10533,15142
120,13561,13859,14060,15125
121,13957,15119,15760,10533
122,12408,13483,10585
123,10194,10195,15016,15194
124,15381,15623,15208,10595
125,12893,13340,15140,15146
126,15707,10313,15194,14626
127,10202,15563,10595,13437
128,10042,15322,15096,15128
129,15228,10686,15534,14459
130,12408,15228,15110
131,12408,14576,15127,15138
132,14374,15570,15118,15138
133,13957,10853,15760,15118
134,10232,15628,15195,15113
135,14642,15119,15808,13437
136,10232,14626,15781,15096
137,15705,15382,15166,15512
138,12408,14036,13297,15818
139,13371,14253,15796,10596
140,13955,15796,14482,15328
141,15710,13774,15194,15135
142,15632,14642,13957,10585
143,13424,15119,15113,15137
144,10772,15193,15757,15758
145,12408,15706,14982,14626
146,14642,14576,15113,15138
147,10194,15570,10531,15110
148,12408,10313,15564,15796
149,10003,10042,15511
150,12408,14576,14483,15140
151,12408,15382,15166,10232
152,10003,10042,13424,10606
153,10008,15534,14408,12524
154,15579,15760,15801,10596
155,12408,13957,15122,15197
156,10003,14982,15322,15747
157,15709,15268,15122,15192
158,14791,15322,15759,15328
159,13761,14718,15699,14073
160,13761,15136,14622
161,14791,15800,13755,15801
162,13761,15699,14482,13299
163,13761,14861,14759,15427
164,13761,15700,15401,14625
165,13761,14520,15795,14969
166,13761,14520,14718,10232
167,13761,15699,10311
168,13761,14718,15786,15628
169,13761,14520,15628,15328
170,13761,14520,15699,14620
171,14520,13960,15436,15790
172,14036,10311,10313
173,14036,15608,15629,15753
174,14036,14626,15579,15797
175,14376,14761,15748,15749
176,14036,15268,10604,14622
177,14207
178,14036,14375,14759,15788
179,13772,15304,15750,10374
180,14806,13087,13424,15813
181,14036,14761,15786,14587
182,14036,15598,15632,14758
183,15597,15511,14459,15449
184,15699,14081,14992,15782
185,14520,15598,10594,10595
186,13087,14761,12359,15096
187,14036,14021,15159,15778
188,14036,15421,15793,14587
189,10008,15788,10032,15262
190,14036,15597,15598,13277
191,14036,15418,14043,14482
192,14036,13977,15551,10853
193,14520,15738,13996,15764
194,15334,15702,15762,15766
195,14376,15152,15534,10854
196,14036,14806,10202
197,15136,10289,15563,15761
198,14982,10316,15190,15808
199,15722,14373,10533,13340
200,14036,10373,14677,14793
201,10686,14376,14238,10606
202,14036,14483,15563,14238
203,14357,14374,15534,15159
204,14520,15136,15313,15632
205,14036,14043,15331,15628
206,14982,15597,15799,14743
207,14036,15277,15808,13755
208,14036,14578,15817
209,14036,14940,10257,14978
210,14430,14568,14923,13957
211,14036,10480,12051,15425
212,15528,13977,15298,10854
213,15545,15727,15728,15801
214,14520,15762,15796,14893
215,14374,14375,10316,10854
216,15564,10532,14620,14893
217,14036,15579,15425,15776
218,14036,10091,10197,14603
219,14036,15382,15738,10290
220,15214,15215,14274,15621
221,14982,13955,10532,15125
222,14036,15195,15328,12964
223,14036,15511,15193,12126
224,14043,14870,15578,15144
225,14373,15322,15190,15564
226,14036,15709,10197,14408
227,15629,10312,10313,15792
228,14036,13957,14578,15808
229,15378,15563,15748,10606
230,10195,15511,10853,15118
231,15459,15262,15115
232,13088,14365,15738,10479
233,14036,15789,15191,15146
234,15166,15122,10853,10533
235,15136,13997,15788,15771
236,15331,15199,15201,15812
237,14520,13638,14870,13960
238,14520,15738,15782,15454
239,15734,15747,12054,15512
240,14520,10854,14274,13344
241,15419,13277,15628,13345
242,14520,15698,14483,15796
243,14520,15700,14614,13344
244,14520,15040,15760,14620
245,13977,15799,15122,15280
246,15228,14376,14870,15096
247,14520,10047,15421,15600
248,14520,15306,15307,14408
249,15707,10195,15781,15110
250,14520,15726,10853,15137
251,14520,15378,15166,15322
252,15136,10197,15747,15759
